playerId,playerName,squadName,durationMins,contactPenaltiesTotal,deflectionWithGainTotal,deflectionWithNoGainTotal,deflectionsTotal,gainTotal,obstructionPenaltiesTotal,contactPenaltiesPer,deflectionWithGainPer,deflectionWithNoGainPer,deflectionsPer,gainPer,obstructionPenaltiesPer
80470,A.Brandley,GIANTS,643.7166666666667,94,8,37,50,38,37,2.1904046811485385,0.18641741967221603,0.8621805659839992,1.1651088729513501,0.8854827434430261,0.8621805659839992
80299,A.Brazill,Magpies,724.4,114,8,35,43,24,3,2.360574268360022,0.16565433462175594,0.7247377139701823,0.8903920485919382,0.4969630038652678,0.06212037548315848
1001356,A.Parmenter,GIANTS,605.1666666666666,117,11,37,48,34,16,2.900027540622418,0.2726521619388598,0.9171027265216194,1.1897548884604792,0.8427430459928394,0.39658496282015976
1022764,A.Sligar,GIANTS,40.483333333333334,7,0,0,0,0,0,2.593659942363112,0.0,0.0,0.0,0.0,0.0
1014127,A.Smith,Vixens,222.1,41,3,3,6,5,8,2.7690229626294465,0.20261143628995948,0.20261143628995948,0.40522287257991896,0.3376857271499325,0.540297163439892
994215,A.Teague-Neeld,Fever,388.8833333333333,24,5,6,12,6,11,0.9257275103930056,0.19285989799854283,0.2314318775982514,0.4628637551965028,0.2314318775982514,0.4242917755967942
1013082,B.Hunt,Lightning,87.41666666666667,9,1,2,3,3,4,1.544327931363203,0.17159199237368922,0.34318398474737843,0.5147759771210676,0.5147759771210676,0.6863679694947569
80343,C.Bruce,Fever,700.2666666666667,132,16,58,80,77,37,2.8274942878903278,0.34272658035034276,1.2423838537699925,1.7136329017517138,1.6493716679360246,0.7925552170601676
1001357,C.Koenen,Lightning,673.2,29,2,4,7,6,1,0.6461675579322638,0.044563279857397504,0.08912655971479501,0.15597147950089127,0.13368983957219252,0.022281639928698752
1001709,E.Burgess,Swifts,20.966666666666665,2,0,0,0,0,1,1.4308426073131957,0.0,0.0,0.0,0.0,0.7154213036565978
1000231,E.Cosh,Fever,251.53333333333333,11,0,0,0,1,6,0.6559766763848397,0.0,0.0,0.0,0.0596342433077127,0.3578054598462762
994213,E.Mannix,Vixens,359.8666666666667,93,8,11,20,30,18,3.8764357169321975,0.33345683586513525,0.458503149314561,0.8336420896628381,1.2504631344942572,0.7502778806965543
1019168,E.McDonald,Thunderbirds,254.93333333333334,24,1,6,7,3,19,1.4121338912133892,0.05883891213389121,0.3530334728033473,0.4118723849372385,0.17651673640167365,1.117939330543933
994232,F.Themann,Magpies,22.6,10,0,1,1,2,0,6.63716814159292,0.0,0.663716814159292,0.663716814159292,1.327433628318584,0.0
993463,G.Bueta,Firebirds,611.0333333333333,50,3,13,16,5,9,1.227428945502155,0.0736457367301293,0.31913152583056026,0.39277726256068957,0.12274289455021549,0.22093721019038787
1015271,G.Horjus,Thunderbirds,654.1,17,0,1,1,4,2,0.3898486469958722,0.0,0.022932273352698363,0.022932273352698363,0.09172909341079345,0.045864546705396726
80010,G.Mentor,Magpies,654.05,90,13,38,63,38,38,2.064062380551946,0.29814234385750327,0.8714930051219327,1.4448436663863622,0.8714930051219327,0.8714930051219327
991905,G.Simpson,Firebirds,701.9,100,8,19,27,21,5,2.1370565607636416,0.17096452486109132,0.40604074654509187,0.5770052714061832,0.4487818777603647,0.10685282803818208
1014126,G.Sinclair,Magpies,619.5333333333333,26,2,1,3,4,9,0.6295060798450447,0.04842354460346498,0.02421177230173249,0.07263531690519746,0.09684708920692996,0.2179059507155924
999128,H.Housby,Swifts,615.8666666666667,20,2,8,10,6,5,0.48711842390127735,0.048711842390127734,0.19484736956051094,0.24355921195063868,0.1461355271703832,0.12177960597531934
1022297,H.Mundy,Vixens,618.45,32,3,12,15,8,8,0.7761338830948338,0.07276255154014066,0.29105020616056265,0.3638127577007033,0.19403347077370844,0.19403347077370844
999806,H.Petty,Thunderbirds,542.15,73,2,14,16,13,20,2.019736235359218,0.05533523932491008,0.38734667527437056,0.44268191459928063,0.3596790556119155,0.5533523932491008
998408,J.Anstiss,Fever,713.9833333333333,89,4,10,14,12,8,1.8697915450874203,0.08403557506010878,0.21008893765027195,0.29412451271038076,0.25210672518032634,0.16807115012021756
80826,J.Fowler,Fever,707.9666666666667,21,1,2,6,2,13,0.44493620226941005,0.02118743820330524,0.04237487640661048,0.12712462921983145,0.04237487640661048,0.2754366966429681
80150,J.Harten,GIANTS,718.6666666666666,24,0,9,11,5,2,0.5009276437847866,0.0,0.187847866419295,0.22959183673469388,0.10435992578849722,0.041743970315398886
1007220,J.Mi Mi,Firebirds,279.3666666666667,29,0,5,5,2,0,1.5570934256055362,0.0,0.26846438372509246,0.26846438372509246,0.10738575349003698,0.0
1001716,J.Newton,Magpies,157.0,41,5,10,15,15,6,3.9171974522292996,0.47770700636942676,0.9554140127388535,1.4331210191082804,1.4331210191082804,0.5732484076433122
80701,J.Price,GIANTS,715.4166666666666,102,4,17,22,24,8,2.1386138613861387,0.08386721025043681,0.3564356435643564,0.46126965637740247,0.5032032615026208,0.16773442050087362
