displayName,squadNickname,rookie
K.Stanton,Vixens,
R.Barkmeyer,Vixens,
K.Moloney,Vixens,
H.Mundy,Vixens,
K.Eddy,Vixens,
J.Weston,Vixens,
E.Mannix,Vixens,
M.Kumwenda,Vixens,
K.Dehaney,Vixens,
A.Smith,Vixens,
J.Fowler,Fever,
S.Glasgow,Fever,
V.Charles,Fever,
J.Anstiss,Fever,
S.Francis,Fever,
C.Bruce,Fever,
O.Lewis,Fever,
A.Teague-Neeld,Fever,
E.Cosh,Fever,
S.Aryang,Fever,
K.McCollin,Magpies,
G.Sinclair,Magpies,
M.Jovic,Magpies,
A.Brazill,Magpies,
J.Ward,Magpies,
J.Newton,Magpies,
G.Mentor,Magpies,
S.Nelson,Magpies,
K.Browne,Magpies,
M.Bragg,Magpies,
C.Koenen,Lightning,
S.Wood,Lightning,
L.Scherian,Lightning,
M.McAuliffe,Lightning,
M.Cassidy,Lightning,
K.Pretorius,Lightning,
K.Shimmin,Lightning,
P.Maweni,Lightning,
B.Hunt,Lightning,
P.Proscovia,Lightning,
R.Aiken,Firebirds,
G.Bueta,Firebirds,
J.Mi Mi,Firebirds,
K.Ravaillion,Firebirds,
G.Simpson,Firebirds,
K.Jenner,Firebirds,
T.Hinchliffe,Firebirds,
L.Dunkley,Firebirds,
T.Dwan,Firebirds,
R.Ellis,Firebirds,
S.Wallace,Swifts,
H.Housby,Swifts,
M.Proud,Swifts,
P.Hadley,Swifts,
L.Moore,Swifts,
M.Turner,Swifts,
S.Klau,Swifts,
N.Haythornthwaite,Swifts,
T.Fraser,Swifts,
S.Garbin,Swifts,
S.Gooden,Thunderbirds,
G.Horjus,Thunderbirds,
E.McDonald,Thunderbirds,
H.Petty,Thunderbirds,
M.Nankivell,Thunderbirds,
M.Garrett,Thunderbirds,
S.Sterling,Thunderbirds,
L.Potgieter,Thunderbirds,
S.Van Der Merwe,Thunderbirds,
L.Wilson,Thunderbirds,
J.Harten,GIANTS,
S.Dwyer,GIANTS,
M.Hay,GIANTS,
J.Price,GIANTS,
A.Parmenter,GIANTS,
A.Brandley,GIANTS,
M.McDonell,GIANTS,
K.Austin,GIANTS,
S.Poolman,GIANTS,
A.Sligar,GIANTS,
M.Letherbarrow,GIANTS,
A.Miller,GIANTS,
M.Lind,Magpies,
F.Themann,Magpies,
T.O'Shannassy,Swifts,
K.Manu'a,GIANTS,
R.Samason,Vixens,
E.Burgess,Swifts,
K.Singleton,Swifts,
N.Allen,Magpies,
R.Bakewell-Doran,Firebirds,
M.Stower,Firebirds,
M.Hinchliffe,Lightning,
S.Eagland,Fever,
M.Gardner,Magpies,
T.Williams,Thunderbirds,
