squadNickname,0%-20%,20%-40%,40%-60%,60%-80%,80%-100%,meanShots,minShots,maxShots
Fever,0.116,0.086,0.316,0.125,0.357,6.892,6,7
Firebirds,0.086,0.221,0.117,0.273,0.303,5.588,5,6
GIANTS,0.028,0.137,0.089,0.266,0.48,5.946,5,6
Lightning,0.035,0.077,0.25,0.185,0.453,6.78,6,7
Magpies,0.01,0.096,0.313,0.264,0.317,4.141,4,5
Swifts,0.047,0.098,0.252,0.158,0.445,6.713,6,7
Thunderbirds,0.054,0.28,0.114,0.33,0.222,5.162,5,6
Vixens,0.024,0.114,0.085,0.239,0.538,6.008,6,7
