squadNickname,0%-20%,20%-40%,40%-60%,60%-80%,80%-100%,meanShots,minShots,maxShots
Fever,0.031,0.095,0.079,0.224,0.571,6.0,6,6
Firebirds,0.121,0.173,0.105,0.246,0.355,5.754,5,6
GIANTS,0.166,0.163,0.146,0.195,0.33,6.335,6,7
Lightning,0.076,0.074,0.273,0.119,0.458,6.881,6,7
Magpies,0.031,0.13,0.264,0.318,0.257,4.127,4,5
Swifts,0.086,0.138,0.175,0.228,0.373,7.432,7,8
Thunderbirds,0.051,0.173,0.124,0.349,0.303,5.405,5,6
Vixens,0.14,0.131,0.177,0.165,0.387,6.503,6,7
