squadNickname,0%-20%,20%-40%,40%-60%,60%-80%,80%-100%,meanShots,minShots,maxShots
Fever,0.023,0.037,0.227,0.145,0.568,6.892,6,7
Firebirds,0.094,0.165,0.115,0.304,0.322,5.588,5,6
GIANTS,0.153,0.155,0.097,0.237,0.358,5.946,5,6
Lightning,0.112,0.076,0.256,0.139,0.417,6.78,6,7
Magpies,0.03,0.117,0.244,0.298,0.311,4.141,4,5
Swifts,0.108,0.093,0.217,0.152,0.43,6.713,6,7
Thunderbirds,0.058,0.184,0.093,0.43,0.235,5.162,5,6
Vixens,0.137,0.187,0.099,0.219,0.358,6.008,6,7
