,squadName,meanShots,lbShots,ubShots,meanScore_0_20,meanScore_20_40,meanScore_40_60,meanScore_60_80,meanScore_80_100,sdScore_0_20,sdScore_20_40,sdScore_40_60,sdScore_60_80,sdScore_80_100,lbScore_0_20,lbScore_20_40,lbScore_40_60,lbScore_60_80,lbScore_80_100,ubScore_0_20,ubScore_20_40,ubScore_40_60,ubScore_60_80,ubScore_80_100
0,Fever,6.261,4,9,6.16101131071191,5.915336236090953,6.287528868360277,6.101596516690856,6.457872340425532,1.4083288187594243,1.9587156323855395,2.218806170424737,2.4660897805543653,2.682911197624948,3,1,1,0,0,10,12,13,14,17
1,Firebirds,4.244,3,6,4.345971563981043,3.4872,3.394889663182346,3.376773711725168,3.3090277777777777,1.2745114775083028,1.4830496148140158,1.5797563413902171,1.9001233524744807,2.1512511388007116,1,0,0,0,0,7,8,8,10,12
2,GIANTS,5.024,4,6,4.7578125,4.6242138364779874,4.603351955307263,5.324685534591195,5.764150943396227,1.3571056848468914,1.619305264358645,1.8832368260966459,2.067627250807388,2.381837275593102,1,0,0,0,0,7,8,9,10,12
3,Lightning,7.501,4,11,6.753835890593729,7.01603498542274,7.565891472868217,7.643828960155491,8.060230670653567,1.8983798864333943,2.2693366105179824,2.568276836850436,2.901184924957686,3.096794409596604,1,0,1,0,0,12,15,16,18,22
4,Magpies,4.493,2,7,5.169642857142857,4.394747474747475,4.577326343381389,4.819795995466566,5.189410480349345,1.2563296375407471,1.6715482108151956,1.8682656242215927,2.0916877867992727,2.4658446920841715,1,0,0,0,0,8,9,11,10,14
5,Swifts,7.216,2,13,7.0307455803228285,6.606439211917348,6.891109942135718,7.024870952604411,7.567755991285403,2.268111014989341,2.726934523510222,3.197222275313397,3.2236865203619858,3.788827397390063,2,0,0,0,0,14,16,17,17,21
6,Thunderbirds,5.994,3,9,6.126984126984127,5.934659090909091,6.41487507263219,6.454545454545454,7.186036426712922,1.4247986095129812,1.904562772259807,2.239285184949767,2.523405615495177,2.765258886589337,1,0,1,0,0,10,12,14,14,15
7,Vixens,6.466,2,11,6.898358092259578,6.474125874125874,7.136160714285714,7.019004524886878,7.5882614495331255,1.8439484422554875,2.468148044999427,2.7321638289928063,3.120882939369321,3.204788137859852,2,1,0,0,0,13,14,15,17,19
