competition,year,round,teamId,teamName,glicko2Rating,glicko2Deviation,glicko2Volatility
ANZC,2009,1,801,Adelaide Thunderbirds,1500.0,350.0,0.06
ANZC,2009,1,802,Tactix,1500.0,350.0,0.06
ANZC,2009,1,803,Central Pulse,1500.0,350.0,0.06
ANZC,2009,1,804,Melbourne Vixens,1500.0,350.0,0.06
ANZC,2009,1,805,Northern Mystics,1500.0,350.0,0.06
ANZC,2009,1,806,NSW Swifts,1500.0,350.0,0.06
ANZC,2009,1,807,Queensland Firebirds,1500.0,350.0,0.06
ANZC,2009,1,808,Southern Steel,1500.0,350.0,0.06
ANZC,2009,1,809,Waikato BOP Magic,1500.0,350.0,0.06
ANZC,2009,1,810,West Coast Fever,1500.0,350.0,0.06
ANZC,2009,2,801,Adelaide Thunderbirds,1662.3108949741131,290.31896467295957,0.05999999939179345
ANZC,2009,2,802,Tactix,1337.6891050258869,290.31896467295957,0.05999999939179345
ANZC,2009,2,803,Central Pulse,1337.6891050258869,290.31896467295957,0.05999999939179345
ANZC,2009,2,804,Melbourne Vixens,1662.3108949741131,290.31896467295957,0.05999999939179345
ANZC,2009,2,805,Northern Mystics,1337.6891050258869,290.31896467295957,0.05999999939179345
ANZC,2009,2,806,NSW Swifts,1662.3108949741131,290.31896467295957,0.05999999939179345
ANZC,2009,2,807,Queensland Firebirds,1337.6891050258869,290.31896467295957,0.05999999939179345
ANZC,2009,2,808,Southern Steel,1662.3108949741131,290.31896467295957,0.05999999939179345
ANZC,2009,2,809,Waikato BOP Magic,1662.3108949741131,290.31896467295957,0.05999999939179345
ANZC,2009,2,810,West Coast Fever,1337.6891050258869,290.31896467295957,0.05999999939179345
ANZC,2009,3,801,Adelaide Thunderbirds,1791.934554374877,247.4632822059853,0.0599998264651837
ANZC,2009,3,802,Tactix,1467.3127644266508,247.4632822059853,0.0599998264651837
ANZC,2009,3,803,Central Pulse,1208.065445625123,247.4632822059853,0.0599998264651837
ANZC,2009,3,804,Melbourne Vixens,1720.317199957036,260.48876450059186,0.05999916323767306
ANZC,2009,3,805,Northern Mystics,1467.3127644266508,247.4632822059853,0.0599998264651837
ANZC,2009,3,806,NSW Swifts,1532.6872355733492,247.4632822059853,0.0599998264651837
ANZC,2009,3,807,Queensland Firebirds,1279.682800042964,260.48876450059186,0.05999916323767306
ANZC,2009,3,808,Southern Steel,1532.6872355733492,247.4632822059853,0.0599998264651837
ANZC,2009,3,809,Waikato BOP Magic,1791.934554374877,247.4632822059853,0.0599998264651837
ANZC,2009,3,810,West Coast Fever,1208.065445625123,247.4632822059853,0.0599998264651837
ANZC,2009,4,801,Adelaide Thunderbirds,1670.2349596915765,217.7022173759598,0.05999979154718863
ANZC,2009,4,802,Tactix,1376.7132575642308,216.60453741535548,0.05999929746605104
ANZC,2009,4,803,Central Pulse,1119.4935303689156,217.7022142192451,0.05999915564060131
ANZC,2009,4,804,Melbourne Vixens,1853.649071282944,225.27242163055087,0.05999934771567574
ANZC,2009,4,805,Northern Mystics,1294.4044814413205,223.61653370027494,0.060003156171502314
ANZC,2009,4,806,NSW Swifts,1479.2179377282132,223.6165102024483,0.05999878848162199
ANZC,2009,4,807,Queensland Firebirds,1376.0935980797408,225.2724177376896,0.05999847903865505
ANZC,2009,4,808,Southern Steel,1623.2867424357692,216.60453741535548,0.05999929746605104
ANZC,2009,4,809,Waikato BOP Magic,1845.4038526371182,223.61651107464573,0.05999895060815078
ANZC,2009,4,810,West Coast Fever,1380.9737147999494,223.61652476994203,0.060001496271306576
ANZC,2009,5,801,Adelaide Thunderbirds,1708.5540481597548,201.46129682462393,0.05999876599259995
ANZC,2009,5,802,Tactix,1338.7057903925847,200.6218243028657,0.059998241156818
ANZC,2009,5,803,Central Pulse,1076.7922325434552,200.34606081588382,0.0599983363481224
ANZC,2009,5,804,Melbourne Vixens,1903.49791741791,204.57290245265,0.059998467806351714
ANZC,2009,5,805,Northern Mystics,1237.8389210143732,201.84541855146344,0.06000214095871349
ANZC,2009,5,806,NSW Swifts,1535.7834736067828,201.8453761347653,0.05999770467663298
ANZC,2009,5,807,Queensland Firebirds,1571.4720202369815,214.98044509169168,0.060004555643050767
ANZC,2009,5,808,Southern Steel,1576.5373622245393,198.3523103423524,0.05999821550700635
ANZC,2009,5,809,Waikato BOP Magic,1653.1967162134192,213.5516834023456,0.060003040901369604
ANZC,2009,5,810,West Coast Fever,1425.5737344280374,204.71092524367637,0.060000402331265204
ANZC,2009,6,801,Adelaide Thunderbirds,1662.2738813938554,184.80840586328003,0.059997690259420214
ANZC,2009,6,802,Tactix,1307.8096660701272,188.41773536480673,0.059997233085293554
ANZC,2009,6,803,Central Pulse,1025.873993992945,182.8515638664827,0.05999751480431057
ANZC,2009,6,804,Melbourne Vixens,1950.990513560738,187.07846510693844,0.05999761715937293
ANZC,2009,6,805,Northern Mystics,1289.4083255155933,183.92495604329326,0.06000112687503685
ANZC,2009,6,806,NSW Swifts,1434.1217760790003,182.8439450578403,0.05999921917970971
ANZC,2009,6,807,Queensland Firebirds,1571.4720202369815,214.98044509169168,0.060004555643050767
ANZC,2009,6,808,Southern Steel,1576.5373622245393,198.3523103423524,0.05999821550700635
ANZC,2009,6,809,Waikato BOP Magic,1687.397240300001,198.68557240460007,0.060002000251984426
ANZC,2009,6,810,West Coast Fever,1529.9630598571089,184.82171438344557,0.06000181918854043
ANZC,2009,7,801,Adelaide Thunderbirds,1698.1347214101652,172.14010667857673,0.0599965074753574
ANZC,2009,7,802,Tactix,1307.8096660701272,188.41773536480673,0.059997233085293554
ANZC,2009,7,803,Central Pulse,1019.7843142223733,180.51832646713345,0.059997226911345236
ANZC,2009,7,804,Melbourne Vixens,1950.990513560738,187.07846510693844,0.05999761715937293
ANZC,2009,7,805,Northern Mystics,1260.3839634665505,173.46092253734733,0.06000008990129906
ANZC,2009,7,806,NSW Swifts,1398.9121543568133,170.60273504359523,0.0599979778200449
ANZC,2009,7,807,Queensland Firebirds,1651.9381646053894,190.0540935205917,0.060004046632606924
ANZC,2009,7,808,Southern Steel,1609.4765633905592,185.04542094842904,0.059997039902524855
ANZC,2009,7,809,Waikato BOP Magic,1694.2200524374607,195.67333712410712,0.0600016740948246
ANZC,2009,7,810,West Coast Fever,1468.327894595698,169.56444297256445,0.060001402501152455
ANZC,2009,8,801,Adelaide Thunderbirds,1698.1347214101652,172.14010667857673,0.0599965074753574
ANZC,2009,8,802,Tactix,1279.240516608055,177.43504408423223,0.0599961734260918
ANZC,2009,8,803,Central Pulse,1019.7843142223733,180.51832646713345,0.059997226911345236
ANZC,2009,8,804,Melbourne Vixens,1964.2911573316114,181.46243695829656,0.059997097058183
ANZC,2009,8,805,Northern Mystics,1245.6004819842803,168.07100617116245,0.05999935419014631
